"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Phtf1",2.42475046311757e-28,0.246106597591461,1,1,3.77727627144456e-24
"Ofd1",2.57460967060849e-28,-0.250988286751811,1,1,4.0107269448739e-24
"Prmt6",2.61132287309668e-28,0.199818486236988,1,1,4.06791877171001e-24
"Sephs1",2.78361403198213e-28,-0.241665826333477,1,1,4.33631393902177e-24
"Cavin4",2.7879810438475e-28,-0.104439264358203,1,1,4.34311687010564e-24
"Gm1976",2.85099134654389e-28,0.148780673337265,1,1,4.44127431964607e-24
"Smtn",2.88345322293391e-28,-0.403666243401233,1,1,4.49184343068644e-24
"B230369F24Rik",2.92601756646075e-28,0.0921578458507459,1,1,4.55815016503256e-24
"Sh3gl3",3.10513430750293e-28,-0.0757472808254174,1,1,4.83717822422807e-24
"Tars2",3.16295188690917e-28,0.306805774991196,1,1,4.92724644942711e-24
"Pvr",3.26868791188911e-28,-0.542928692184268,1,1,5.09196202914085e-24
"Ccdc77",3.28615302448131e-28,0.211050072979537,1,1,5.11916918153699e-24
"H6pd",3.30072229236665e-28,0.438518062277844,1,1,5.14186518704877e-24
"Fam177a",3.3745114900723e-28,-0.226418905334924,1,1,5.25681399923463e-24
"Stap1",3.49922980809499e-28,-0.079241716994038,1,1,5.45110019505037e-24
"Trrap",3.5515365183591e-28,0.427550888952704,1,1,5.5325835882998e-24
"Snx33",3.69662726897887e-28,-0.264154883381599,1,1,5.75860595961528e-24
"Cst3",3.73426400245094e-28,-1.32428411871835,1,1,5.81723646301807e-24
"C920021L13Rik",3.80312070667607e-28,0.0966805381861959,1,1,5.92450143685998e-24
"Nrip3",3.80364363842647e-28,0.048758351012081,1,1,5.92531605994075e-24
"Areg",3.8705956105291e-28,0.119633397742393,1,1,6.02961384208223e-24
"Slc35c2",4.11105967467957e-28,-0.310639560124472,1,1,6.40420876121584e-24
"Stxbp2",4.23934149842151e-28,0.54209590372793,1,1,6.60404618624103e-24
"Angptl6",4.57811974397912e-28,-0.279026874426493,1,1,7.13179493717068e-24
"Fbxl17",4.71591879923009e-28,-0.255499494236175,1,1,7.34645830544064e-24
"Tmem220",5.17210084026413e-28,0.126838714280832,1,1,8.05709868896346e-24
"Samd10",5.17538048212072e-28,-0.0684045975783656,1,1,8.06220771504765e-24
"Rab2b",5.21395419870563e-28,-0.220991835364587,1,1,8.12229785074364e-24
"Car3",5.24310107223056e-28,4.9842487213676,1,1,8.16770285032076e-24
"Met",5.30645317827164e-28,0.180448699311107,1,1,8.26639276111156e-24
"Lonrf3",5.44617854590648e-28,0.142919657183516,1,1,8.48405693881311e-24
"Zscan26",5.55343313649472e-28,0.346549184370687,1,1,8.65113814003148e-24
"Pth1r",5.6448548243554e-28,-0.521468095290001,1,1,8.79355484538083e-24
"Slx1b",5.77613311565087e-28,0.189822556249589,1,1,8.99806016756092e-24
"Dnaja3",5.7857815545838e-28,0.393425199920843,1,1,9.01309050573065e-24
"Ostm1",5.86568922578809e-28,-0.305663038286426,1,1,9.13757067593269e-24
"Haghl",5.91145476227363e-28,-0.300696509032212,1,1,9.20886422866985e-24
"Suz12",6.01627842776369e-28,0.492922625864737,1,1,9.37215853477028e-24
"Gfm1",6.18268006287528e-28,0.402668445853771,1,1,9.63137900194711e-24
"Ttk",6.28466064980389e-28,0.219098318269756,1,1,9.7902443602645e-24
"Sirt3",6.35032785006959e-28,0.325078849116158,1,1,9.8925407248384e-24
"Lss",6.7239151072426e-28,0.29695459595465,1,1,1.04745149540625e-23
"Snhg14",6.88193947889379e-28,0.215132716532202,1,1,1.07206853202208e-23
"Nthl1",6.96469717969709e-28,-0.246022986015721,1,1,1.08496052665321e-23
"Appl1",7.44095928067348e-28,-0.443716299720261,1,1,1.15915263674332e-23
