"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Lpcat41",1.27167942192476e-06,1.05500681324086,0.103,0.055,0.0262652667804341,"7","Lpcat4"
"Col14a13",1.28208607139535e-06,0.137858381036396,0.179,0.108,0.0264802057185995,"7","Col14a1"
"Wdr482",1.30771636493326e-06,0.138834051109777,0.373,0.276,0.0270095738013316,"7","Wdr48"
"Tbc1d132",1.31436098990977e-06,0.525642895602696,0.215,0.142,0.0271468118855964,"7","Tbc1d13"
"Traf62",1.38632352769575e-06,0.273991008362214,0.208,0.134,0.028633126141028,"7","Traf6"
"Stim12",1.42209475262935e-06,0.156085613208511,0.461,0.356,0.0293719450208066,"7","Stim1"
"Glod43",1.4465298695461e-06,0.11784539661046,0.597,0.48,0.0298766279256051,"7","Glod4"
"Rcbtb13",1.47722417039591e-06,0.123345656849993,0.293,0.202,0.0305105880153571,"7","Rcbtb1"
"Cc2d1b1",1.58348622018467e-06,0.257907309063778,0.295,0.209,0.0327053243916941,"7","Cc2d1b"
"Naaa1",1.63159422830975e-06,0.30950954595962,0.235,0.157,0.0336989471915097,"7","Naaa"
"Apoe1",1.65606638231269e-06,0.557709150256452,0.879,0.774,0.0342043950602864,"7","Apoe"
"Zfp4071",1.7638323412778e-06,0.470790643566637,0.255,0.177,0.0364301931767517,"7","Zfp407"
"Afg3l12",1.78999445078903e-06,0.133043316370688,0.47,0.366,0.0369705453865967,"7","Afg3l1"
"Ltbr3",1.80612037419783e-06,0.118948602299722,0.559,0.447,0.0373036102086819,"7","Ltbr"
"Slc2a84",1.807070272217e-06,0.187465675224525,0.221,0.145,0.03732322940237,"7","Slc2a8"
"Nmrk12",1.88763039963976e-06,0.496743998134642,0.145,0.086,0.0389871182741596,"7","Nmrk1"
"Zfp7872",2.00202715795609e-06,0.32920810977042,0.318,0.232,0.041349868920425,"7","Zfp787"
"Ciao12",2.01869969312149e-06,0.274319113618438,0.421,0.329,0.0416942234617312,"7","Ciao1"
"Mta23",2.03527739634164e-06,0.101171104374384,0.526,0.414,0.0420366193440402,"7","Mta2"
"Zfp4442",2.03731854363783e-06,0.524789140692967,0.219,0.145,0.0420787772002957,"7","Zfp444"
"Camkmt1",2.18642497569207e-06,0.791534195298505,0.103,0.055,0.045158421447944,"7","Camkmt"
"Zbtb452",2.2611638451851e-06,0.56872826352317,0.17,0.106,0.046702078058453,"7","Zbtb45"
"Ado2",2.34947671758553e-06,0.164111242433297,0.497,0.392,0.0485260921250116,"7","Ado"
"Rnf1213",2.38664964766532e-06,0.101473557979718,0.36,0.261,0.0492938618228795,"7","Rnf121"
"Ccdc932",2.46555211343225e-06,0.172525560485589,0.262,0.181,0.0509235133508297,"7","Ccdc93"
"Cpsf42",2.58352766319491e-06,0.400942238148065,0.239,0.163,0.0533601803556277,"7","Cpsf4"
"Eef1akmt23",2.79524295037909e-06,0.306371681145134,0.315,0.226,0.0577329478971296,"7","Eef1akmt2"
"Kdm2b2",2.89226003818016e-06,0.446245933859841,0.307,0.224,0.0597367388285731,"7","Kdm2b"
"Atg4d2",2.9169490086949e-06,0.346236087704624,0.259,0.181,0.0602466648255845,"7","Atg4d"
"Pitpnm12",2.92749062465723e-06,0.582051311421651,0.152,0.093,0.0604643913616705,"7","Pitpnm1"
"Mettl251",2.96715921373981e-06,0.579718770707043,0.116,0.064,0.0612837064005821,"7","Mettl25"
"Ubac23",2.98739920630005e-06,0.104746778233576,0.387,0.291,0.0617017432069213,"7","Ubac2"
"Ctu23",3.03899126997376e-06,0.329957572747466,0.304,0.216,0.062767325690038,"7","Ctu2"
"Nt5c32",3.09827424368001e-06,0.274489958942838,0.345,0.255,0.0639917562289669,"7","Nt5c3"
"1110012L19Rik1",3.15979693112192e-06,0.292617993686841,0.309,0.221,0.0652624458153921,"7","1110012L19Rik"
"Tmub23",3.16612552343718e-06,0.137371677122288,0.277,0.192,0.0653931565610714,"7","Tmub2"
